PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,Mode_Locked,S1_MLd
0,0,0,0,37,56,-0.204301075,,,0,#N/A
220,0,4.31372549,0,37,59,-0.229166667,-0.024865591,0,0,#N/A
220,1,4.31372549,0.019607843,37,63,-0.26,-0.030833333,0,0,#N/A
220,2,4.31372549,0.039215686,40,57,-0.175257732,0.084742268,3,0,#N/A
220,3,4.31372549,0.058823529,36,63,-0.272727273,-0.097469541,-4,0,#N/A
220,4,4.31372549,0.078431373,41,62,-0.203883495,0.068843778,5,0,#N/A
220,5,4.31372549,0.098039216,34,68,-0.333333333,-0.129449838,-7,0,#N/A
220,6,4.31372549,0.117647059,33,67,-0.34,-0.006666667,-1,0,#N/A
220,7,4.31372549,0.137254902,25,65,-0.444444444,-0.104444444,-8,0,#N/A
220,8,4.31372549,0.156862745,27,74,-0.465346535,-0.02090209,2,0,#N/A
220,9,4.31372549,0.176470588,21,60,-0.481481481,-0.016134947,-6,0,#N/A
220,10,4.31372549,0.196078431,21,70,-0.538461538,-0.056980057,0,0,#N/A
220,11,4.31372549,0.215686275,24,70,-0.489361702,0.049099836,3,0,#N/A
220,12,4.31372549,0.235294118,28,68,-0.416666667,0.072695035,4,0,#N/A
220,13,4.31372549,0.254901961,17,70,-0.609195402,-0.192528736,-11,0,#N/A
220,14,4.31372549,0.274509804,17,66,-0.590361446,0.018833957,0,0,#N/A
220,15,4.31372549,0.294117647,24,66,-0.466666667,0.123694779,7,0,#N/A
220,16,4.31372549,0.31372549,32,66,-0.346938776,0.119727891,8,0,#N/A
220,17,4.31372549,0.333333333,30,60,-0.333333333,0.013605442,-2,0,#N/A
220,18,4.31372549,0.352941176,35,65,-0.3,0.033333333,5,0,#N/A
220,19,4.31372549,0.37254902,38,58,-0.208333333,0.091666667,3,0,#N/A
220,20,4.31372549,0.392156863,34,55,-0.235955056,-0.027621723,-4,0,#N/A
220,21,4.31372549,0.411764706,37,50,-0.149425287,0.086529769,3,0,#N/A
220,22,4.31372549,0.431372549,43,57,-0.14,0.009425287,6,0,#N/A
220,23,4.31372549,0.450980392,44,47,-0.032967033,0.107032967,1,0,#N/A
220,24,4.31372549,0.470588235,57,46,0.106796117,0.139763149,13,0,#N/A
220,25,4.31372549,0.490196078,62,45,0.158878505,0.052082388,5,0,#N/A
220,26,4.31372549,0.509803922,60,41,0.188118812,0.029240307,-2,0,#N/A
220,27,4.31372549,0.529411765,58,34,0.260869565,0.072750753,-2,0,#N/A
220,28,4.31372549,0.549019608,63,35,0.285714286,0.02484472,5,0,#N/A
220,29,4.31372549,0.568627451,66,33,0.333333333,0.047619048,3,0,#N/A
220,30,4.31372549,0.588235294,71,31,0.392156863,0.058823529,5,0,#N/A
220,31,4.31372549,0.607843137,73,29,0.431372549,0.039215686,2,0,#N/A
220,32,4.31372549,0.62745098,73,29,0.431372549,0,0,0,#N/A
220,33,4.31372549,0.647058824,83,31,0.456140351,0.024767802,10,0,#N/A
220,34,4.31372549,0.666666667,78,27,0.485714286,0.029573935,-5,0,#N/A
220,35,4.31372549,0.68627451,102,29,0.557251908,0.071537623,24,0,#N/A
220,36,4.31372549,0.705882353,80,27,0.495327103,-0.061924806,-22,0,#N/A
220,37,4.31372549,0.725490196,84,25,0.541284404,0.045957301,4,0,#N/A
220,38,4.31372549,0.745098039,86,22,0.592592593,0.051308189,2,0,#N/A
220,39,4.31372549,0.764705882,92,21,0.628318584,0.035725991,6,0,#N/A
220,40,4.31372549,0.784313725,86,17,0.669902913,0.041584329,-6,0,#N/A
220,41,4.31372549,0.803921569,87,23,0.581818182,-0.088084731,1,0,#N/A
220,42,4.31372549,0.823529412,95,16,0.711711712,0.12989353,8,0,#N/A
220,43,4.31372549,0.843137255,94,20,0.649122807,-0.062588905,-1,0,#N/A
220,44,4.31372549,0.862745098,95,21,0.637931034,-0.011191773,1,0,#N/A
220,45,4.31372549,0.882352941,89,19,0.648148148,0.010217114,-6,0,#N/A
220,46,4.31372549,0.901960784,88,20,0.62962963,-0.018518519,-1,0,#N/A
220,47,4.31372549,0.921568627,82,21,0.59223301,-0.03739662,-6,0,#N/A
220,48,4.31372549,0.941176471,90,26,0.551724138,-0.040508872,8,0,#N/A
220,49,4.31372549,0.960784314,81,23,0.557692308,0.00596817,-9,0,#N/A
220,50,4.31372549,0.980392157,82,30,0.464285714,-0.093406593,1,0,#N/A
220,51,4.31372549,1,82,25,0.53271028,0.068424566,0,0,#N/A
220,52,4.31372549,1.019607843,70,35,0.333333333,-0.199376947,-12,0,#N/A
220,53,4.31372549,1.039215686,68,40,0.259259259,-0.074074074,-2,0,#N/A
220,54,4.31372549,1.058823529,73,37,0.327272727,0.068013468,5,0,#N/A
220,55,4.31372549,1.078431373,61,41,0.196078431,-0.131194296,-12,0,#N/A
220,56,4.31372549,1.098039216,58,45,0.126213592,-0.069864839,-3,0,#N/A
220,57,4.31372549,1.117647059,50,46,0.041666667,-0.084546926,-8,0,#N/A
220,58,4.31372549,1.137254902,58,47,0.104761905,0.063095238,8,0,#N/A
220,59,4.31372549,1.156862745,48,54,-0.058823529,-0.163585434,-10,0,#N/A
220,60,4.31372549,1.176470588,48,55,-0.067961165,-0.009137636,0,0,#N/A
220,61,4.31372549,1.196078431,39,54,-0.161290323,-0.093329158,-9,0,#N/A
220,62,4.31372549,1.215686275,33,65,-0.326530612,-0.16524029,-6,0,#N/A
